personId,playerName,team,games,minutes,minutes_method,FGA,poss_used,game_score,gs_rate,rate_unit,replacement_rate,prod_score,eligible,production_tier
1643686,Fingall,GSV,4,10,reconstructed,2,2,4.7,18.769,per40min,9.207,2.39,FALSE,below threshold
1641695,Prechtel,GSV,1,4.8,reconstructed,3,4,3.4,28.333,per40min,9.207,2.3,FALSE,below threshold
1628915,Nurse,TOR,24,268.8,reconstructed,92,113.3,63.7,9.479,per40min,9.207,1.82,FALSE,below threshold
1643455,Dugalic,WAS,23,283.8,reconstructed,81,109.1,66.6,9.387,per40min,9.207,1.28,FALSE,below threshold
1630112,Harris,IND,19,282.8,reconstructed,69,91.4,66.3,9.379,per40min,9.207,1.21,FALSE,below threshold
1643470,Ciezki,PHX,2,9.5,reconstructed,2,2,2.6,10.986,per40min,9.207,0.42,FALSE,below threshold
1629496,Magbegor,SEA,4,53.6,reconstructed,16,20,12.5,9.325,per40min,9.207,0.16,FALSE,below threshold
1642788,Hall,IND,2,10.7,reconstructed,5,5,2.6,9.72,per40min,9.207,0.14,FALSE,below threshold
1643706,Bankole,TOR,2,10.4,reconstructed,1,1.9,2.5,9.585,per40min,9.207,0.1,FALSE,below threshold
1643429,Kneepkens,CON,19,158.6,reconstructed,49,59.6,36.6,9.229,per40min,9.207,0.08,FALSE,below threshold
1630138,Williams,PHX,1,5.8,reconstructed,1,1,1.4,9.711,per40min,9.207,0.07,FALSE,below threshold
1642292,Sheldon,CHI,24,513.9,reconstructed,126,158.3,118.3,9.209,per40min,9.207,0.02,TRUE,fringe
1643461,Ziegler,LAS,3,29.3,reconstructed,8,9.3,6.6,9.007,per40min,9.207,-0.15,FALSE,below threshold
1642808,Quinerly,DAL,2,12.4,reconstructed,3,3,2.7,8.686,per40min,9.207,-0.16,FALSE,below threshold
1642324,Martin,LAS,13,100.1,reconstructed,33,38.5,22.6,9.03,per40min,9.207,-0.44,FALSE,below threshold
1629539,Okonkwo,ATL,1,1.3,reconstructed,1,1.9,-0.2,-6,per40min,9.207,-0.51,FALSE,below threshold
1642293,Pili,LAS,3,17.8,reconstructed,4,5,3.4,7.648,per40min,9.207,-0.69,FALSE,below threshold
1630389,Evans,LVA,1,17.8,reconstructed,8,9.9,3.1,6.979,per40min,9.207,-0.99,FALSE,below threshold
1642826,Griffin,NYL,4,7.7,reconstructed,1,2,0.6,3.109,per40min,9.207,-1.18,FALSE,below threshold
1628244,Whitcomb,PHX,3,40.8,reconstructed,12,16.9,8.2,8.04,per40min,9.207,-1.19,FALSE,below threshold
