player_id,player_name,team,position,gp,minutes,gmsc_per40,production_tier,rapm,o_rapm,d_rapm,rapm_tier,contested_shots_pg,deflections_pg,hustle_tier,off_rating,def_rating,net_rating,ts_pct,usg_pct
1643686,Nadia Fingall,GSV,C,5,12.4,17.419,below threshold,NA,NA,NA,NA,NA,NA,NA,84.6,114.3,-29.7,1.25,0.067
1631022,Shakira Austin,WAS,C,31,919.505,17.331,top,NA,NA,NA,NA,NA,NA,NA,102.4,101.1,1.3,0.549,0.252
1628242,Emma Cannon,LAS,F,12,75.88333333333334,17.184,below threshold,NA,NA,NA,NA,NA,NA,NA,113.1,110.1,3,0.799,0.191
1642291,Angel Reese,ATL,F,31,951.3516666666668,17.083,top,NA,NA,NA,NA,NA,NA,NA,107.2,99.9,7.3,0.508,0.247
1642321,Sydney Taylor,CHI,G,28,577.8566666666667,17.028,top,NA,NA,NA,NA,NA,NA,NA,107.9,102.8,5.1,0.586,0.277
1631055,Nyara Sabally,TOR,F,24,573.1433333333333,17.022,top,NA,NA,NA,NA,NA,NA,NA,104.4,111.3,-6.9,0.612,0.21
203826,Alyssa Thomas,PHX,F,33,1121.605,17.011,top,NA,NA,NA,NA,NA,NA,NA,106.1,109.5,-3.4,0.561,0.219
1631019,NaLyssa Smith,LVA,F,33,807.3033333333333,16.633,top,NA,NA,NA,NA,NA,NA,NA,110.1,104.9,5.2,0.644,0.182
1631009,Rhyne Howard,ATL,G,31,1069.7283333333332,16.546,top,NA,NA,NA,NA,NA,NA,NA,109,104.2,4.9,0.563,0.194
1629484,Megan DiLeo,PDX,C,31,730.2916666666666,16.498,upper rotation,NA,NA,NA,NA,NA,NA,NA,105.1,109.8,-4.7,0.633,0.192
1642792,Kiki Iriafen,WAS,F,29,816.7066666666667,16.456,upper rotation,NA,NA,NA,NA,NA,NA,NA,103.5,100.4,3,0.548,0.237
1630442,Natasha Mack,PHX,F,27,602.2266666666667,16.286,upper rotation,NA,NA,NA,NA,NA,NA,NA,102.8,103.5,-0.6,0.651,0.142
1642767,Janelle Salaun,GSV,F,32,714.565,16.284,upper rotation,NA,NA,NA,NA,NA,NA,NA,112.3,104.1,8.2,0.598,0.226
203026,Tiffany Hayes,GSV,G,31,500.87333333333333,16.116,upper rotation,NA,NA,NA,NA,NA,NA,NA,111.4,102.5,9,0.588,0.218
1631007,Veronica Burton,GSV,G,33,944.3366666666668,16.104,upper rotation,NA,NA,NA,NA,NA,NA,NA,110.1,98.1,12,0.563,0.193
1628931,Gabby Williams,GSV,F,31,770.48,16.078,upper rotation,NA,NA,NA,NA,NA,NA,NA,106.5,99.5,7,0.522,0.279
204323,Cheyenne Parker-Tyus,LVA,F,23,243.61333333333337,16.058,below threshold,NA,NA,NA,NA,NA,NA,NA,106.7,110,-3.2,0.601,0.189
1642785,Sonia Citron,WAS,G,29,973.7033333333334,16.05,upper rotation,NA,NA,NA,NA,NA,NA,NA,103.5,102.3,1.2,0.611,0.211
1631135,Olivia Nelson-Ododa,CON,C,27,575.8916666666667,16.031,upper rotation,NA,NA,NA,NA,NA,NA,NA,101.6,105.3,-3.7,0.605,0.192
1628277,Allisha Gray,ATL,G,32,1052.7683333333334,15.874,upper rotation,NA,NA,NA,NA,NA,NA,NA,110.5,101.8,8.7,0.572,0.221
202664,Courtney Vandersloot,CHI,G,17,346.4633333333333,15.794,upper rotation,NA,NA,NA,NA,NA,NA,NA,105.2,110.5,-5.3,0.547,0.204
1642288,Rickea Jackson,CHI,F,4,117.98,15.596,below threshold,NA,NA,NA,NA,NA,NA,NA,97.5,104.6,-7.2,0.517,0.284
1642800,Aneesah Morrow,TOR,F,24,540.8566666666667,15.56,upper rotation,NA,NA,NA,NA,NA,NA,NA,98.8,112.5,-13.7,0.494,0.234
204330,Isabelle Harrison,TOR,F,21,473.1166666666667,15.548,upper rotation,NA,NA,NA,NA,NA,NA,NA,105.6,115.2,-9.6,0.565,0.233
1629566,Han Xu,NYL,C,34,466.045,15.466,upper rotation,NA,NA,NA,NA,NA,NA,NA,107.3,102.3,5,0.634,0.16
1629567,Natisha Hiedeman,SEA,G,35,1040.8333333333333,15.353,upper rotation,NA,NA,NA,NA,NA,NA,NA,105.2,109.2,-4,0.566,0.227
1630096,DiJonai Carrington,CHI,G,7,123.065,15.244,below threshold,NA,NA,NA,NA,NA,NA,NA,107.2,113.7,-6.5,0.517,0.287
1641652,Maddy Siegrist,DAL,F,31,424.8016666666667,14.859,upper rotation,NA,NA,NA,NA,NA,NA,NA,112.1,105.8,6.2,0.584,0.167
1629477,Sabrina Ionescu,NYL,G,22,669.9666666666667,14.831,upper rotation,NA,NA,NA,NA,NA,NA,NA,111.7,113.2,-1.5,0.567,0.228
203400,Skylar Diggins,CHI,G,19,552.9233333333333,14.83,upper rotation,NA,NA,NA,NA,NA,NA,NA,104,111.1,-7,0.515,0.223
