season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,pointsFor,Points For,PF,Total Points For,PF,pointsfor,3593,3593
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,streak,Streak,STRK,Current Streak,STRK,streak,W1,1
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,winPercent,Win Percentage,PCT,Winning Percentage,PCT,winpercent,.600,0.6
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,wins,Wins,W,Wins,W,wins,24,24
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,gamesAhead,Games Ahead,GA,Games Ahead,GA,gamesahead,-,0
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,overall,Overall,OVER,Overall Record,Total,total,24-16,NA
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,Home,Home,HOME,Home Record,NA,home,14-6,NA
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,Road,Road,AWAY,Away Record,NA,road,10-10,NA
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,vs. Div.,DIV,DIV,Division Record,NA,vsdiv,0-0,NA
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,vs. Conf.,CONF,CONF,Conference Record,NA,vsconf,12-5,NA
