season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,DQ,disqualifications,Disqualifications,The number of times a player reached the foul limit.,23,23
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,miscellaneous,EJECT,ejections,Ejections,The number of times a player or coach is removed from the game as a result of a serious offense.,0,0
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,GP,gamesPlayed,Games Played,Games Played,131,131
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,34,34
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,18.4,18.4
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,5.9,5.9
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,0.7,0.7
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,1.6,1.6
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,2.3,2.3
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,AST,avgAssists,Assists Per Game,The average assists per game.,2.3,2.3
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.0,1
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.1,0.1
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,0.9,0.9
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,2.0-4.9,NA
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,40.9,40.9
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.9-2.7,NA
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,32.9,32.9
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,1.0-1.1,NA
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,89.7,89.7
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,1.3,1.3
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,totals,PTS,points,Points,The number of points scored.,771,771
2026,1107,NA,NA,NA,NA,NA,16,Washington Mystics,totals,OR,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,93,93
